year,field,subfield,median_ref_age,mean_ref_age,p25,p75,n_papers,n_references,total_refs,ref_resolution_rate
2000,Computer Science,All,7.0,10.33564650899306,3.0,13.0,1000,14122,17556,0.899
2001,Computer Science,All,7.0,10.406638446549755,3.0,13.0,1000,14883,17972,0.909
2002,Computer Science,All,8.0,9.994755244755245,4.0,14.0,1000,11440,13660,0.891
2003,Computer Science,All,6.0,9.493695366287614,3.0,12.0,1000,12927,14993,0.896
2004,Computer Science,All,6.0,9.2565171364298,2.0,12.0,1000,15114,17656,0.89
2005,Computer Science,All,6.0,9.471341967484156,3.0,12.0,1000,14516,16706,0.9
2006,Computer Science,All,6.0,9.202857668485926,3.0,12.0,1000,16307,18610,0.9
2007,Computer Science,All,6.0,9.734686524141244,3.0,13.0,1000,16652,19049,0.9
2008,Computer Science,All,6.0,9.811863896416742,3.0,13.0,1000,16605,18659,0.911
2009,Computer Science,All,6.0,9.62665557997268,3.0,12.0,1000,16837,19115,0.903
2010,Computer Science,All,7.0,9.801066122263808,3.0,12.0,1000,17634,20134,0.896
2011,Computer Science,All,7.0,11.146665294359819,4.0,14.0,1000,19432,21715,0.912
2012,Computer Science,All,7.0,10.52202150302898,4.0,13.0,1000,18323,20587,0.906
2013,Computer Science,All,7.0,10.389914521268524,3.0,13.0,1000,19771,22204,0.906
2014,Computer Science,All,7.0,10.350353293104337,3.0,13.0,1000,19389,21939,0.894
2015,Computer Science,All,7.0,10.616026955757398,3.0,13.0,1000,20478,23333,0.888
2016,Computer Science,All,8.0,10.926767339302419,3.0,14.0,1000,22449,25369,0.894
2017,Computer Science,All,7.0,10.075359148978476,3.0,13.0,1000,20117,22890,0.885
2018,Computer Science,All,7.0,10.28149905972956,3.0,14.0,1000,22334,25727,0.874
2019,Computer Science,All,7.0,10.676375560592179,3.0,14.0,1000,20737,24722,0.843
2020,Computer Science,All,7.0,10.130351411063405,3.0,13.0,1000,23989,28788,0.837
2021,Computer Science,All,6.0,9.748706914387387,3.0,13.0,1000,24167,29558,0.82
2022,Computer Science,All,6.0,9.75466302445687,3.0,12.0,1000,23429,29090,0.807
2023,Computer Science,All,6.0,9.511262859169918,3.0,12.0,1000,22552,28164,0.803
2024,Computer Science,All,6.0,9.236990183595514,3.0,12.0,1000,24347,30722,0.793
2025,Computer Science,All,5.0,9.257062253150274,3.0,12.0,1000,26585,31548,0.843
2000,Medicine,All,6.0,9.094862420627285,3.0,12.0,1000,25985,29748,0.96
2001,Medicine,All,6.0,8.640110791209592,3.0,11.0,1000,27439,29171,0.957
2002,Medicine,All,6.0,8.839395913986738,3.0,11.0,1000,26089,27859,0.951
2003,Medicine,All,6.0,8.92384821827941,3.0,12.0,1000,26828,28408,0.955
2004,Medicine,All,6.0,8.795110792447677,3.0,11.0,1000,29289,30983,0.956
2005,Medicine,All,6.0,8.917597187758478,3.0,12.0,1000,29016,30546,0.961
2006,Medicine,All,6.0,9.378089756811605,3.0,12.0,1000,30059,31799,0.955
2007,Medicine,All,6.0,9.220241360394953,3.0,12.0,1000,29168,30725,0.958
2008,Medicine,All,7.0,9.49575785370328,3.0,12.0,1000,30527,32221,0.957
2009,Medicine,All,7.0,9.274239311221994,3.0,12.0,1000,30663,32349,0.956
2010,Medicine,All,7.0,9.541880946258678,3.0,12.0,1000,31112,32524,0.964
2011,Medicine,All,7.0,9.743568816923478,3.0,13.0,1000,30632,32273,0.957
